title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Агнец,Dýrið,2020,Вальдимар Йоханнссон,2027570,film,dislike,watched,4,07/18/2025
Цензор,Censor,2021,Прано Бэйли-Бонд,2139605,film,dislike,watched,4,07/18/2025
Паранормальные явления: Медиум,Rang song,2021,Банйонг Писантханакун,2620343,film,dislike,watched,4,07/18/2025
Дом на другой стороне,The Night House,2020,Дэвид Брукнер,2059886,film,dislike,watched,4,07/18/2025
Злое,Malignant,2021,Джеймс Ван,2338747,film,dislike,watched,4,07/18/2025
Блуждающая Земля,Liú Làng Dì Qiú,2019,Франт Гво,1658575,film,dislike,watched,4,07/18/2025
После заката,After the Sunset,2004,Бретт Ратнер,287275,film,dislike,watched,4,07/18/2025
Люби их всех,,2019,Мария Агранович,1670299,film,dislike,watched,4,07/18/2025
Притворись моим парнем,20 ans d’écart,2012,Давид Моро,628713,film,dislike,watched,4,07/18/2025
Боги хеви-метала,Metal Lords,2022,Питер Соллетт,2568111,film,dislike,watched,4,07/18/2025
Бабник,Spread,2008,Дэвид Маккензи,440048,film,dislike,watched,4,07/18/2025
Обещать – не значит жениться,He’s Just Not That Into You,2008,Кен Куопис,414457,film,dislike,watched,4,07/18/2025
Влюбиться в невесту брата,Dan in Real Life,2007,Питер Хеджес,360389,film,dislike,watched,4,07/18/2025
Побудь в моей шкуре,Under the Skin,2013,Джонатан Глейзер,487484,film,dislike,watched,4,07/18/2025
Палмер,Palmer,2020,Фишер Стивенс,1702845,film,dislike,watched,4,07/18/2025
Эван Всемогущий,Evan Almighty,2007,Том Шэдьяк,316316,film,dislike,watched,4,07/18/2025
В духе Рождества,Spirited,2022,Шон Андерс,2138684,film,dislike,watched,4,07/18/2025
Довольно добрый человек,En ganske snill mann,2010,Ханс Петтер Муланд,475830,film,dislike,watched,4,07/18/2025
Банши Инишерина,The Banshees of Inisherin,2022,Мартин Макдона,2357449,film,dislike,watched,4,07/18/2025
Дополнительный урок,,2022,Анна Курбатова,2661160,film,dislike,watched,4,07/18/2025
Мост через озеро,Causeway,2022,Лайла Нойгебауэр,2060473,film,dislike,watched,4,07/18/2025
Билет,The Ticket,2016,Идо Флюк,1517078,film,dislike,watched,4,07/18/2025
Гигантик,Gigantic,2008,Мэтт Аселтон,438344,film,dislike,watched,4,07/18/2025
Патерсон,Paterson,2016,Джим Джармуш,1532245,film,dislike,watched,4,07/18/2025
Таинственный лес,The Village,2004,М. Найт Шьямалан,288046,film,dislike,watched,4,07/18/2025
Суперначо,Nacho Libre,2006,Джаред Хесс,345624,film,dislike,watched,4,07/18/2025
Страна чудаков,Orange County,2001,Джейк Кэздан,220714,film,dislike,watched,4,07/18/2025
Когда мы познакомились,When We First Met,2018,Эри Сандел,1584138,film,dislike,watched,4,07/18/2025
Прежде чем мы расстанемся,Before We Go,2014,Крис Эванс,336686,film,dislike,watched,4,07/18/2025
Конец тура,The End of the Tour,2015,Джеймс Понсольдт,753360,film,dislike,watched,4,07/18/2025
Обратный отсчет,Countdown,2019,Джастин Дек,2042371,film,dislike,watched,4,07/18/2025
Китобой,,2020,Филипп Юрьев,2129109,film,dislike,watched,4,07/18/2025
Пылающий,Beoning,2018,Ли Чхан-дон,1626642,film,dislike,watched,4,07/18/2025
Успеть за 30 минут,30 Minutes or Less,2011,Рубен Фляйшер,526765,film,dislike,watched,4,07/18/2025
Соседи. На тропе войны,Neighbors,2014,Николас Столлер,597013,film,dislike,watched,4,07/18/2025
Дружинники,The Watch,2012,Акива Шаффер,457407,film,dislike,watched,4,07/18/2025
Приколисты,Funny People,2009,Джадд Апатоу,442627,film,dislike,watched,4,07/18/2025
Сорвиголова,Daredevil,2003,Марк Стивен Джонсон,230814,film,dislike,watched,4,07/18/2025
"Любовь, сбивающая с ног",Punch-Drunk Love,2002,Пол Томас Андерсон,219773,film,dislike,watched,4,07/18/2025
